SessionID,Female (y=1)
S001-001-l000,0
S001-001-l001,0
S001-001-l002,0
S001-003-l000,0
S001-003-l001,0
S001-003-l002,0
S001-003-l003,0
S001-003-l004,0
S001-003-l005,0
S001-005-l000,0
S001-005-l001,0
S001-005-l002,0
S001-007-l000,0
S001-007-l001,0
S001-007-l002,0
S001-007-l003,0
S001-009-l000,0
S001-009-l003,0
S001-009-l007,0
S001-009-l020,0
S002-001-l000,1
S002-001-l001,1
S002-001-l002,1
S002-001-l003,1
S002-001-l004,1
S002-001-l005,1
S002-001-l006,1
S002-001-l007,1
S002-001-l008,1
S002-001-l009,1
S002-001-l010,1
S002-003_1-l000,1
S002-005-l005,1
S002-008-l000,1
S002-011-l000,1
S002-011-l003,1
S002-011-l005,1
S002-014-l000,1
S002-014-l001,1
S002-014-l002,1
S002-015-l000,1
S002-015-l002,1
S002-016-l000,1
S002-016_1-l001,1
S003-001-l000,0
S003-005-l003,0
S003-006-l001,0
S003-007-l000,0
S003-008-l000,0
S003-008-l001,0
S003-009-l000,0
S003-009-l001,0
S003-009-l003,0
S003-009-l004,0
S003-010-l000,0
S003-010-l001,0
S003-010-l003,0
S003-011-l000,0
S003-011-l001,0
S003-011-l002,0
S003-011-l003,0
S003-011-l004,0
S003-011-l005,0
S003-011-l006,0
S003-012-l000,0
S003-012-l003,0
S003-012-l007,0
S003-012-l009,0
S003-012-l011,0
S003-012-l015,0
S003-012-l019,0
S003-013-l000,0
S003-013-l001,0
S003-013-l002,0
S003-013-l003,0
S003-013-l004,0
S003-013-l006,0
S003-014-l000,0
S003-014-l001,0
S003-014-l003,0
S003-014-l005,0
S003-015-l001,0
S004-002-l001,0
S004-002-l002,0
S004-002-l003,0
S004-002-l006,0
S004-002-l007,0
S004-002-l008,0
S004-004-l000,0
S004-004-l002,0
S004-004-l003,0
S004-005-l000,0
S004-005-l002,0
S004-005-l003,0
S004-005-l004,0
S004-005-l005,0
S004-005-l006,0
S004-005-l007,0
S004-005-l008,0
S004-005-l009,0
S004-005-l010,0
S004-005-l011,0
S004-006-l000,0
S004-006-l001,0
S004-006-l002,0
S004-006-l003,0
S004-006-l004,0
S004-006-l005,0
S004-006-l006,0
S004-006-l007,0
S004-006-l008,0
S004-006-l010,0
S004-006-l011,0
S004-007-l000,0
S004-007-l001,0
S004-007-l002,0
S004-007-l003,0
S004-007-l004,0
S004-007-l005,0
S004-007-l006,0
S004-007-l007,0
S004-007-l008,0
S004-007-l009,0
S004-007-l010,0
S004-007-l011,0
S004-007-l012,0
S004-007-l013,0
S004-007-l014,0
S004-007-l015,0
S004-007-l016,0
S004-007-l017,0
S004-007-l018,0
S005-001-l000,0
S005-001-l001,0
S005-002-l000,0
S005-003-l000,0
S005-004-l000,0
S005-004_1-l000,0
S005-007-l000,0
S005-007-l001,0
S005-007-l002,0
S005-007-l003,0
S005-007-l004,0
S005-007-l005,0
S005-007-l006,0
S005-007-l007,0
S005-007-l008,0
S005-007-l009,0
S005-007-l010,0
S005-008-l000,0
S005-008-l001,0
S005-008-l002,0
S005-008-l003,0
S005-008-l004,0
S005-008-l005,0
S005-008-l006,0
S006-002-l000,0
S006-002-l001,0
S006-003-l001,0
S006-003-l002,0
S006-003-l003,0
S006-003-l004,0
S006-003-l005,0
S006-003-l006,0
S006-003-l007,0
S006-003-l008,0
S006-004-l000,0
S006-004-l001,0
S006-004-l002,0
S006-004-l003,0
S006-006-l020,0
S007-001-l000,0
S007-002-l000,0
S007-002-l001,0
S007-002-l002,0
S007-003-l000,0
S007-003-l002,0
S007-003-l003,0
S007-003-l004,0
S007-004-l000,0
S007-005-l000,0
S007-005-l001,0
S007-005-l002,0
S007-005-l003,0
S007-005-l004,0
S007-005-l005,0
S007-005-l006,0
S007-006-l000,0
S007-006-l001,0
S007-006-l002,0
S007-006-l003,0
S007-006-l004,0
S007-006-l005,0
S007-007-l000,0
S007-007-l001,0
S007-007-l002,0
S007-007-l003,0
S007-007-l004,0
S007-009-l003,0
S007-009-l017,0
S008-001-l000,1
S008-001-l001,1
S008-001-l002,1
S008-001-l003,1
S008-001-l004,1
S008-001-l005,1
S008-002-l000,1
S008-002-l001,1
S008-002-l002,1
S008-002-l003,1
S008-002-l005,1
S008-002-l006,1
S008-003-l000,1
S008-003-l001,1
S008-003-l002,1
S008-003-l003,1
S008-003-l004,1
S008-003-l005,1
S008-003-l006,1
S008-003-l007,1
S008-003-l008,1
S008-003-l009,1
S008-003-l010,1
S008-004-l000,1
S008-004-l001,1
S008-004-l002,1
S008-006-l000,1
S008-008-l013,1
S008-008-l015,1
S008-008-l017,1
S009-001-l000,1
S009-001-l001,1
S009-001-l002,1
S009-001-l003,1
S009-001-l004,1
S009-001-l005,1
S009-001-l006,1
S009-001-l007,1
S009-001-l008,1
S009-001-l009,1
S009-001-l010,1
S009-001-l012,1
S009-001-l013,1
S009-001-l014,1
S009-001-l015,1
S009-001-l016,1
S009-001-l017,1
S009-001-l019,1
S009-001-l021,1
S009-002-l000,1
S009-002-l001,1
S009-002-l002,1
S009-002-l003,1
S009-002-l004,1
S009-002-l005,1
S009-002-l006,1
S009-002-l007,1
S009-002-l009,1
S009-004-l000,1
S009-004-l001,1
S009-004-l002,1
S009-004-l004,1
S009-004-l007,1
S011-001-l000,1
S011-001-l001,1
S011-001-l002,1
S011-001-l003,1
S011-001-l004,1
S011-001-l005,1
S011-001-l006,1
S011-001-l007,1
S011-001-l008,1
S011-001-l009,1
S011-002-l000,1
S011-002-l001,1
S011-003-l000,1
S011-003-l001,1
S011-003-l002,1
S011-003-l003,1
S011-003-l004,1
S011-003-l005,1
S011-003-l006,1
S011-003-l008,1
S011-003-l011,1
S011-004-l000,1
S011-004-l001,1
S011-004-l002,1
S011-004-l004,1
S011-004-l007,1
S011-005-l000,1
S011-005-l001,1
S011-005-l003,1
S011-007-l000,1
S011-007-l001,1
S011-008-l000,1
S011-008-l001,1
S011-008-l002,1
S011-009-l004,1
S011-009-l018,1
S011-010-l009,1
S011-010-l010,1
S011-010-l015,1
S011-010-l025,1
S013-001-l000,1
S013-001-l001,1
S013-002-l000,1
S013-003-l000,1
S013-004-l000,1
S013-004-l002,1
S013-004-l003,1
S013-004-l005,1
S013-004_1-l000,1
S013-004_2-l000,1
S013-006-l006,1
S014-001-l000,1
S014-001-l001,1
S014-001-l002,1
S014-001-l003,1
S014-001-l004,1
S014-001-l005,1
S014-001-l006,1
S014-001-l007,1
S014-001-l008,1
S014-002-l000,1
S014-002-l001,1
S014-002-l002,1
S014-002-l003,1
S014-002-l004,1
S014-002-l005,1
S014-003-l000,1
S014-003-l001,1
S014-003-l002,1
S014-004-l000,1
S014-004-l001,1
S014-004-l002,1
S014-004-l003,1
S014-004-l004,1
S014-004-l005,1
S014-004-l006,1
S014-004-l007,1
S014-005-l000,1
S014-005-l001,1
S014-006-l000,1
S014-006-l001,1
S014-006-l003,1
S014-007-l000,1
S014-008-l000,1
S014-008-l001,1
S014-009-l000,1
S014-011-l000,1
S014-011-l002,1
S015-001-l000,0
S015-001-l001,0
S015-001-l002,0
S015-001-l004,0
S015-001-l005,0
S015-001-l006,0
S015-002-l000,0
S015-002-l001,0
S015-002-l002,0
S015-002-l003,0
S015-003-l000,0
S015-004-l000,0
S015-004-l001,0
S015-004-l002,0
S015-005-l000,0
S015-005-l002,0
S015-005-l004,0
S015-007-l024,0
S015-009-l000,0
S016-001-l000,0
S016-002-l000,0
S016-002-l001,0
S016-002-l002,0
S016-002-l003,0
S016-002-l004,0
S016-002-l005,0
S016-002-l006,0
S016-002-l007,0
S016-003-l000,0
S016-005-l000,0
S016-005-l001,0
S016-005-l002,0
S016-005-l003,0
S017-002-l000,0
S017-002-l001,0
S017-002-l002,0
S017-002-l003,0
S017-003-l001,0
S017-003-l003,0
S017-005-l020,0
S017-006-l006,0
S017-006-l008,0
S017-006-l013,0
S017-006-l021,0
S017-007-l000,0
S017-007-l001,0
S017-007-l002,0
S017-007-l003,0
S017-007-l005,0
S017-007-l007,0
S019-001-l000,0
S019-001-l001,0
S019-001-l002,0
S019-001-l003,0
S019-001-l004,0
S019-001-l005,0
S019-001-l006,0
S019-001-l007,0
S019-001-l008,0
S019-002-l000,0
S019-002-l001,0
S019-002-l002,0
S019-002-l003,0
S019-002-l004,0
S019-003-l002,0
S019-004-l000,0
S019-005-l000,0
S019-005-l001,0
S019-006-l000,0
S019-008-l008,0
S019-008-l015,0
S019-009-l000,0
S019-009-l001,0
S019-009-l002,0
S019-009-l003,0
S020-001-l000,1
S020-001-l001,1
S020-001-l002,1
S020-001-l003,1
S020-001-l004,1
S020-001-l005,1
S020-002-l000,1
S020-002-l001,1
S020-002-l002,1
S020-002-l003,1
S020-002-l004,1
S020-002-l005,1
S020-003-l000,1
S020-003-l001,1
S020-003-l002,1
S020-003-l003,1
S020-003-l004,1
S020-003-l005,1
S020-003-l006,1
S020-004-l000,1
S020-004-l001,1
S020-004-l002,1
S020-004-l003,1
S020-004-l004,1
S021-001-l000,0
S021-001-l001,0
S021-002-l000,0
S021-002-l001,0
S021-004-l000,0
S021-004-l001,0
S021-006-l000,0
S021-006-l001,0
S021-006_1-l000,0
S021-006_2-l000,0
S022-001-l000,1
S022-001-l001,1
S022-001-l002,1
S022-001-l005,1
S022-001-l008,1
S022-003-l000,1
S022-003-l001,1
S022-003-l002,1
S022-004-l001,1
S022-006_1-l001,1
S022-008-l000,1
S022-008-l002,1
S022-009-l000,1
S022-009-l001,1
S022-009-l002,1
S022-009-l003,1
S022-009-l004,1
S022-009-l006,1
S022-009-l007,1
S022-009-l008,1
S022-010-l000,1
S022-010-l001,1
S022-010-l002,1
S022-010-l003,1
S022-010-l004,1
S022-010-l005,1
S022-010-l006,1
S022-010-l008,1
S022-010-l010,1
S022-010-l011,1
S023-001-l000,1
S023-001-l001,1
S023-001-l002,1
S023-001-l003,1
S023-002-l000,1
S023-002-l002,1
S023-002-l003,1
S023-002-l004,1
S023-002-l005,1
S023-003-l000,1
S023-003-l001,1
S023-003-l002,1
S023-003-l003,1
S023-003-l004,1
S023-003-l005,1
S023-003-l006,1
S023-003-l007,1
S023-003-l008,1
S023-003-l010,1
S023-003-l012,1
S023-003-l014,1
S023-004-l000,1
S023-004-l001,1
S023-004-l002,1
S023-004-l003,1
S023-004-l004,1
S023-004-l005,1
S023-004-l006,1
S023-005-l000,1
S023-005-l001,1
S023-005-l002,1
S023-005-l004,1
S023-006-l000,1
S023-006-l001,1
S023-006-l003,1
S023-006-l005,1
S023-006-l007,1
S023-006-l008,1
S023-006-l010,1
S023-006-l012,1
S023-008-l000,1
S023-008-l003,1
S023-009-l000,1
S023-010-l012,1
S024-001-l000,0
S024-001-l001,0
S024-001-l002,0
S024-001-l003,0
S024-001-l004,0
S024-002-l000,0
S024-003-l000,0
S024-003-l001,0
S024-003-l002,0
S024-003-l003,0
S024-003-l004,0
S024-003-l005,0
S024-004-l001,0
S024-005-l000,0
S024-005-l001,0
S024-008-l004,0
S024-008-l005,0
S024-008-l006,0
S024-008-l007,0
S025-001-l000,1
S025-001-l002,1
S025-001-l003,1
S025-001-l004,1
S025-002-l000,1
S025-002-l001,1
S025-002-l002,1
S025-002-l003,1
S025-002-l004,1
S025-002-l006,1
S025-002-l007,1
S025-002-l008,1
S025-002-l009,1
S025-002-l010,1
S025-002-l014,1
S025-002-l016,1
S025-002-l017,1
S025-003-l000,1
S025-003-l001,1
S025-003-l002,1
S025-003-l003,1
S025-003-l004,1
S025-003-l005,1
S025-003-l006,1
S025-003-l007,1
S025-003-l008,1
S025-003-l009,1
S025-003-l010,1
S025-003-l011,1
S025-003-l013,1
S025-003-l016,1
S025-004-l000,1
S025-004-l001,1
S025-004-l003,1
S025-004-l005,1
S025-004-l006,1
S025-004-l007,1
S025-004-l010,1
S025-004-l011,1
S025-004-l012,1
S025-004-l013,1
S025-004-l014,1
S025-004-l015,1
S025-004-l016,1
S025-004-l017,1
S025-004-l018,1
S025-004-l019,1
S025-004-l020,1
S025-004-l022,1
S025-005-l001,1
S025-006-l000,1
S025-006-l001,1
S025-006-l002,1
S025-006-l004,1
S025-006-l005,1
S025-006-l007,1
S025-006-l008,1
S025-007-l015,1
S025-008-l019,1
S025-008-l023,1
S025-008-l026,1
